war_start;run_date;player_name;player_tag;th_level;attack_number;stars;destruction;defender_th;position_diff;already_3_starred
2026-08-13;2026-08-15;OLYMP;#LGYUJYLCV;16;1;3;100;16;0;False
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;1;3;100;16;0;False
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;2;3;100;15;-1;False
2026-08-13;2026-08-15;_Suni_official_;#YCPLLRGC9;18;1;3;100;18;2;False
2026-08-13;2026-08-15;MadFOX;#2JPUUP020;18;1;3;100;18;0;False
2026-08-13;2026-08-15;_Suni_official_;#YCPLLRGC9;18;2;3;100;18;0;False
2026-08-13;2026-08-15;MadFOX;#2JPUUP020;18;2;3;100;18;-2;False
2026-08-13;2026-08-15;Vidap;#Y9VGCG2YV;17;1;1;81;18;2;False
2026-08-13;2026-08-15;Vidap;#Y9VGCG2YV;17;2;3;100;17;1;False
2026-08-13;2026-08-15;kris;#QQ9C0GCPV;16;1;3;100;16;0;False
2026-08-13;2026-08-15;kris;#QQ9C0GCPV;16;2;3;100;16;-1;False
2026-08-13;2026-08-15;КОЛОВРАТ;#PYUQCL0GV;18;1;3;100;18;-4;False
2026-08-13;2026-08-15;КОЛОВРАТ;#PYUQCL0GV;18;2;3;100;18;-5;False
2026-08-13;2026-08-15;.:AbdyLKeRIM:.;#G9QGC288Q;16;1;2;82;18;9;False
2026-08-13;2026-08-15;koks;#L0PUCUQ8R;16;1;3;100;18;4;False
2026-08-13;2026-08-15;koks;#L0PUCUQ8R;16;2;3;100;17;2;False
2026-08-13;2026-08-15;Inogdaveselo;#LLCVGCC20;16;1;3;100;16;0;False
2026-08-13;2026-08-15;kshrub;#GU29QQ8L9;16;1;3;100;16;0;False
2026-08-13;2026-08-15;TDKK;#L2YV2CGC;15;1;3;100;16;2;False
2026-08-13;2026-08-15;TDKK;#L2YV2CGC;15;2;2;79;16;3;False
2026-08-13;2026-08-15;Tough Nut;#Y09LUJLGG;16;1;3;100;16;7;False
2026-08-13;2026-08-15;Tough Nut;#Y09LUJLGG;16;2;1;96;17;6;False
2026-08-13;2026-08-15;.:AbdyLKeRIM:.;#G9QGC288Q;16;2;0;15;17;4;False
2026-08-13;2026-08-15;YOUGRA;#PLQQCV928;16;1;2;68;17;0;False
2026-08-13;2026-08-15;YOUGRA;#PLQQCV928;16;2;3;100;16;-5;False
2026-08-13;2026-08-15;LakFar;#9UJRYP0C0;18;1;3;100;17;-7;False
2026-08-13;2026-08-15;LakFar;#9UJRYP0C0;18;2;3;100;16;-8;True
2026-08-13;2026-08-15;ШАХ;#9JLQ20VCV;17;1;2;67;17;0;True
2026-08-13;2026-08-15;ШАХ;#9JLQ20VCV;17;2;2;73;17;-1;True
2026-08-13;2026-08-15;kshrub;#GU29QQ8L9;16;2;2;71;17;-2;True
