war_start;run_date;player_name;player_tag;th_level;attack_number;stars;destruction;defender_th;position_diff;already_3_starred;;;;;
13.08.2026;15.08.2026;soul_reaper;#98JCP2P2C;18;1;3;100;17;0;FALSE;;;;;
13.08.2026;15.08.2026;soul_reaper;#98JCP2P2C;18;2;3;100;17;1;FALSE;;;;;
13.08.2026;15.08.2026;KING STARS;#QU9Y2Q8G2;18;1;3;100;18;21;FALSE;;;;;
13.08.2026;15.08.2026;MassaNetto;#QQVG9G2CV;15;1;3;100;18;31;FALSE;;;;;
13.08.2026;15.08.2026;MassaNetto;#QQVG9G2CV;15;2;2;94;18;30;FALSE;;;;; 
13.08.2026;15.08.2026;KING STARS;#QU9Y2Q8G2;18;2;3;100;18;19;FALSE;;;;;
13.08.2026;15.08.2026;mir 0202;#29RVLQ2UU;18;1;2;80;18;0;FALSE;;;;;
13.08.2026;15.08.2026;женя 333;#899QP9GQC;18;1;3;100;18;0;FALSE;;;;;
13.08.2026;15.08.2026;Кирилл;#8QL2LYRRU;18;1;3;100;18;-7;FALSE;;;;;
13.08.2026;15.08.2026;Кирилл;#8QL2LYRRU;18;2;3;100;18;-4;FALSE;;;;;
13.08.2026;15.08.2026;Sensei;#Q9RYLQGJR;18;1;3;100;18;12;FALSE;;;;;
13.08.2026;15.08.2026;Sensei;#Q9RYLQGJR;18;2;3;100;18;11;FALSE;;;;;
13.08.2026;15.08.2026;Максим;#Y9PQVR2QP;18;1;3;100;18;7;FALSE;;;;;
13.08.2026;15.08.2026;Максим;#Y9PQVR2QP;18;2;3;100;18;6;FALSE;;;;;
13.08.2026;15.08.2026;женя 333;#899QP9GQC;18;2;3;100;18;9;FALSE;;;;;
13.08.2026;15.08.2026;oskar;#2L0Q2VRUR;18;1;2;86;18;0;FALSE;;;;;
13.08.2026;15.08.2026;oskar;#2L0Q2VRUR;18;2;2;95;18;11;FALSE;;;;;
13.08.2026;15.08.2026;mir 0202;#29RVLQ2UU;18;2;2;93;18;-10;FALSE;;;;;
13.08.2026;15.08.2026;Vicious;#290CYGUCL;18;1;3;100;18;0;FALSE;;;;;
13.08.2026;15.08.2026;Rrr;#VYC2G8LC;18;1;3;100;18;-9;FALSE;;;;;
13.08.2026;15.08.2026;Rrr;#VYC2G8LC;18;2;3;100;18;-11;FALSE;;;;;
13.08.2026;15.08.2026;МАРУСЯ;#2RCP0PGJ8;18;1;3;100;18;-10;FALSE;;;;;
13.08.2026;15.08.2026;МАРУСЯ;#2RCP0PGJ8;18;2;3;100;18;-12;FALSE;;;;;
13.08.2026;15.08.2026;Janskyi;#GYL8QCYQL;18;1;2;90;18;-1;FALSE;;;;;
13.08.2026;15.08.2026;Janskyi;#GYL8QCYQL;18;2;3;100;18;-3;FALSE;;;;;
13.08.2026;15.08.2026;ВИТЯЗЬ;#Q0GLGV8RC;18;1;3;100;18;11;FALSE;;;;;
13.08.2026;15.08.2026;ВИТЯЗЬ;#Q0GLGV8RC;18;2;3;100;18;8;FALSE;;;;;
13.08.2026;15.08.2026;puStoTa.95;#8JY8JJPPQ;18;1;2;63;18;-15;FALSE;;;;;
13.08.2026;15.08.2026;puStoTa.95;#8JY8JJPPQ;18;2;1;75;18;-16;FALSE;;;;;
13.08.2026;15.08.2026;Storm;#Y0QU90PRJ;11;1;0;38;13;-1;FALSE;;;;;
13.08.2026;15.08.2026;ABOBIQUE;#20CUGP0QJ;18;1;3;100;18;-10;FALSE;;;;;
13.08.2026;15.08.2026;Nord;#LGCRC8YC8;18;1;2;96;18;-14;FALSE;;;;;
13.08.2026;15.08.2026;Sibiriak;#PUJ8PV8CJ;18;1;3;100;18;-16;FALSE;;;;;
13.08.2026;15.08.2026;Nord;#LGCRC8YC8;18;2;3;100;18;-15;FALSE;;;;;
13.08.2026;15.08.2026;Sibiriak;#PUJ8PV8CJ;18;2;3;100;18;-18;FALSE;;;;;
13.08.2026;15.08.2026;mrTurelkin;#GV8020QCQ;10;1;1;38;13;0;FALSE;;;;;
13.08.2026;15.08.2026;ABOBIQUE;#20CUGP0QJ;18;2;3;100;18;-15;FALSE;;;;;
13.08.2026;15.08.2026;Retè;#LJCPLG9LY;18;1;2;96;18;-19;FALSE;;;;;
13.08.2026;15.08.2026;mrTurelkin;#GV8020QCQ;10;2;2;61;17;1;FALSE;;;;;
13.08.2026;15.08.2026;Retè;#LJCPLG9LY;18;2;3;100;18;-20;FALSE;;;;;
13.08.2026;15.08.2026;sɴᴏᴏᴘʏ ☂;#YLLC8QUUG;18;1;2;98;18;-1;FALSE;;;;;
13.08.2026;15.08.2026;sɴᴏᴏᴘʏ ☂;#YLLC8QUUG;18;2;3;100;18;-4;FALSE;;;;;
13.08.2026;15.08.2026;Deniskus;#GJGUGGJVL;18;1;2;85;18;-12;FALSE;;;;;
13.08.2026;15.08.2026;Deniskus;#GJGUGGJVL;18;2;1;92;17;-14;FALSE;;;;;
