war_start;run_date;player_name;player_tag;th_level;defense_number;stars;destruction;attacker_th
2026-08-13;2026-08-15;КОЛОВРАТ;#PYUQCL0GV;18;1;3;100;18
2026-08-13;2026-08-15;koks;#L0PUCUQ8R;16;1;3;100;18
2026-08-13;2026-08-15;Boss;#900QRGVUJ;17;1;3;100;18
2026-08-13;2026-08-15;ШАХ;#9JLQ20VCV;17;1;3;100;18
2026-08-13;2026-08-15;_Suni_official_;#YCPLLRGC9;18;1;3;100;18
2026-08-13;2026-08-15;Police No MERCY;#92VQUGVV2;18;1;3;100;18
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;1;3;100;18
2026-08-13;2026-08-15;LakFar;#9UJRYP0C0;18;1;3;100;18
2026-08-13;2026-08-15;Azimav;#GRLLLC820;18;1;3;100;18
2026-08-13;2026-08-15;Vidap;#Y9VGCG2YV;17;1;3;100;18
2026-08-13;2026-08-15;КОЛОВРАТ;#PYUQCL0GV;18;2;2;97;18
2026-08-13;2026-08-15;MadFOX;#2JPUUP020;18;1;3;100;18
2026-08-13;2026-08-15;kshrub;#GU29QQ8L9;16;1;3;100;18
2026-08-13;2026-08-15;koks;#L0PUCUQ8R;16;2;1;94;17
2026-08-13;2026-08-15;кума;#GQ2YQPC8V;16;1;3;100;17
2026-08-13;2026-08-15;Inogdaveselo;#LLCVGCC20;16;1;3;100;16
2026-08-13;2026-08-15;OLYMP;#LGYUJYLCV;16;1;3;100;16
2026-08-13;2026-08-15;YOUGRA;#PLQQCV928;16;1;3;100;17
2026-08-13;2026-08-15;TDKK;#L2YV2CGC;15;1;3;100;17
2026-08-13;2026-08-15;Inogdaveselo;#LLCVGCC20;16;2;2;92;16
2026-08-13;2026-08-15;OLYMP;#LGYUJYLCV;16;2;2;67;16
2026-08-13;2026-08-15;kris;#QQ9C0GCPV;16;1;3;100;16
2026-08-13;2026-08-15;.:AbdyLKeRIM:.;#G9QGC288Q;16;1;3;100;16
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;2;2;81;16
2026-08-13;2026-08-15;Tough Nut;#Y09LUJLGG;16;1;3;100;16
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;3;1;59;16
2026-08-13;2026-08-15;Tough Nut;#Y09LUJLGG;16;2;1;89;16
2026-08-13;2026-08-15;Rusik-05;#UCQPYVJ8;16;4;2;91;15
