war_start;run_date;player_name;player_tag;th_level;defense_number;stars;destruction;attacker_th
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;1;1;14;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;1;1;9;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;2;1;16;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;2;1;8;18
2026-08-13;2026-08-15;ВИТЯЗЬ;#Q0GLGV8RC;18;1;3;100;18
2026-08-13;2026-08-15;Mom Hello!;#2LU9C8RC8;18;1;3;100;18
2026-08-13;2026-08-15;Janskyi;#GYL8QCYQL;18;1;3;100;18
2026-08-13;2026-08-15;Vicious;#290CYGUCL;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;3;1;13;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;3;1;2;18
2026-08-13;2026-08-15;Она самая;#G2GJVRRVP;18;1;3;100;18
2026-08-13;2026-08-15;ABOBIQUE;#20CUGP0QJ;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;4;2;70;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;4;2;58;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;5;3;100;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;5;2;85;18
2026-08-13;2026-08-15;Deniskus;#GVGPJGCQY;12;1;3;100;15
2026-08-13;2026-08-15;Осетинский Кот;#8V22VQ9JL;12;1;3;100;15
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;6;1;92;18
2026-08-13;2026-08-15;Pulsar;#GYV8VGV0G;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;7;1;8;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;6;1;2;18
2026-08-13;2026-08-15;Sensei;#Q9RYLQGJR;18;1;3;100;18
2026-08-13;2026-08-15;oskar;#2L0Q2VRUR;18;1;3;100;18
2026-08-13;2026-08-15;Retè;#LJCPLG9LY;18;1;3;100;18
2026-08-13;2026-08-15;Kofein;#99Y88LJRQ;18;1;3;100;18
2026-08-13;2026-08-15;oskar;#2L0Q2VRUR;18;2;2;92;17
2026-08-13;2026-08-15;Nord;#LGCRC8YC8;18;1;3;100;17
2026-08-13;2026-08-15;Максим;#Y9PQVR2QP;18;1;3;100;18
2026-08-13;2026-08-15;eyy arnold;#QQLQ8LGL2;18;1;3;100;18
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;8;1;11;17
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;7;1;8;17
2026-08-13;2026-08-15;МАРУСЯ;#2RCP0PGJ8;18;9;1;10;18
2026-08-13;2026-08-15;Sibiriak;#PUJ8PV8CJ;18;8;1;11;18
2026-08-13;2026-08-15;rik42745435D;#QQ880Q0PG;18;1;3;100;18
